Ticker,Nome,Preço Atual
GGBR4,Gerdau S.A.,16.09
GGPS3,GPS Participações e Empreendimentos S.A.,14.9
GMAT3,Grupo Mateus S.A.,7.73
GOAU3,Metalurgica Gerdau S.A.,8.92
GOAU4,Metalurgica Gerdau S.A.,8.95
GOLL4,Gol Linhas Aéreas Inteligentes S.A.,0.79
GRND3,Grendene S.A.,5.33
GSHP3,General Shopping e Outlets do Brasil S.A.,4.9
GUAR3,Guararapes Confecções S.A.,8.09
HAGA3,HAGA S/A Indústria e Comércio,1.93
HAGA4,HAGA S/A Indústria e Comércio,1.14
HAPV3,Hapvida Participações e Investimentos S.A.,36.75
HBOR3,Helbor Empreendimentos S.A.,2.58
HBRE3,HBR Realty Empreendimentos Imobiliários S.A.,3.35
HBSA3,Hidrovias do Brasil S.A.,3.7
HBTS5,Companhia Habitasul de Participações,30.0
HOOT4,Hotéis Othon S.A.,3.72
HYPE3,Hypera S.A.,27.78
IFCM3,Infracommerce CXaaS S.A.,0.05
IGTI11,Iguatemi S.A.,21.94
IGTI3,Iguatemi S.A.,2.66
INEP3,Inepar S.A. Indústria e Construções,2.2
INEP4,Inepar S.A. Indústria e Construções,1.74
INTB3,Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira,15.87
IRBR3,IRB-Brasil Resseguros S.A.,45.5
ISAE3,ISA Energía Brasil S.A.,30.02
ISAE4,ISA Energía Brasil S.A.,23.25
ITSA3,Itaúsa S.A.,10.64
ITSA4,Itaúsa S.A.,10.66
ITUB3,Itaú Unibanco Holding S.A.,32.27
ITUB4,Itaú Unibanco Holding S.A.,36.56
JALL3,Jalles Machado S/A,3.99
JBSS3,JBS S.A.,38.29
JFEN3,João Fortes Engenharia S.A.,1.88
JHSF3,JHSF Participações S.A.,5.24
JOPA3,JOSAPAR Joaquim Oliveira S.A. Participações,20.11
JSLG3,JSL S.A.,5.94
KEPL3,Kepler Weber S.A.,8.0
KLBN11,Klabin S.A.,17.66
KLBN3,Klabin S.A.,3.63
KLBN4,Klabin S.A.,3.5
LAND3,Terra Santa Propriedades Agrícolas S.A.,9.76
LAVV3,Lavvi Empreendimentos Imobiliários S.A.,11.99
LEVE3,MAHLE Metal Leve S.A.,29.44
LIGT3,Light S.A.,7.27
LJQQ3,Lojas Quero-Quero S.A.,2.42
LOGG3,LOG Commercial Properties e Participações S.A.,20.48
LOGN3,Log-In Logística Intermodal S.A.,25.57
LPSB3,LPS Brasil - Consultoria de Imóveis S.A.,1.55
LREN3,Lojas Renner S.A.,19.01
LUPA3,Lupatech S.A.,1.2
LUXM4,Trevisa Investimentos S.A.,5.2
LVTC3,Livetech da Bahia Indústria e Comércio S.A.,3.6
LWSA3,Locaweb Serviços de Internet S.A.,4.08
MAPT4,Cemepe Investimentos S.A.,4.21
MATD3,Hospital Mater Dei S.A.,4.58
MDIA3,M. Dias Branco S.A. Indústria e Comércio de Alimentos,22.92
MDNE3,Moura Dubeux Engenharia S.A.,21.17
MEAL3,International Meal Company Alimentação S.A.,1.15
MELK3,Melnick Desenvolvimento Imobiliário S.A.,3.34
MGEL4,Mangels Industrial S.A.,4.3
MGLU3,Magazine Luiza S.A.,8.91
MILS3,"Mills Locação, Serviços e Logística S.A.",10.32
MLAS3,Grupo Multi S.A.,1.06
MNDL3,Mundial S.A. - Produtos de Consumo,19.89
MNPR3,Minupar Participações S.A.,22.99
MOAR3,Monteiro Aranha S.A.,145.0
MOTV3,Motiva Infraestrutura de Mobilidade S.A.,13.43
MOVI3,Movida Participações S.A.,8.06
MRFG3,Marfrig Global Foods S.A.,24.36
MRVE3,MRV Engenharia e Participações S.A.,5.83
MTRE3,Mitre Realty Empreendimentos e Participações S.A.,3.84
MTSA3,METISA Metalúrgica Timboense S.A.,76.0
MTSA4,METISA Metalúrgica Timboense S.A.,43.5
MULT3,Multiplan Empreendimentos Imobiliários S.A.,26.1
MWET3,Wetzel S.A.,13.0
MWET4,Wetzel S.A.,12.59
MYPK3,Iochpe-Maxion S.A.,12.75
NEOE3,Neoenergia S.A.,24.79
NEXP3,Nexpe Participações S.A.,3.74
NGRD3,Neogrid Participações S.A.,25.95
NORD3,Nordon Indústrias Metalúrgicas S/A,6.11
NTCO3,Natura &Co Holding S.A.,10.29
NUTR3,Nutriplant Indústria e Comércio S/A,3.47
ODPV3,Odontoprev S.A.,11.61
OFSA3,Ouro Fino Saúde Animal Participações S.A.,25.43
OIBR3,Oi S.A.,0.64
OIBR4,Oi S.A.,8.62
ONCO3,Oncoclínicas do Brasil Serviços Médicos S.A.,4.5
OPCT3,OceanPact Serviços Marítimos S.A.,6.42
ORVR3,Orizon Valorização de Resíduos S.A.,52.21
OSXB3,OSX Brasil S.A.,2.63
PATI3,Panatlântica S.A.,39.9
PATI4,Panatlântica S.A.,35.08
PCAR3,Companhia Brasileira De Distribuicao,3.04
PDGR3,PDG Realty S.A. Empreendimentos e Participações,0.26
PDTC3,Padtec Holding S.A.,1.15
PEAB3,Companhia de Participações Aliança da Bahia,40.9
PEAB4,Companhia de Participações Aliança da Bahia,44.0
PETR3,Petróleo Brasileiro S.A. - Petrobras,34.9
PETR4,Petróleo Brasileiro S.A. - Petrobras,32.0
PETZ3,Pet Center Comércio e Participações S.A.,4.05
PFRM3,Profarma Distribuidora de Produtos Farmacêuticos S.A.,8.68
PGMN3,Empreendimentos Pague Menos S.A.,3.38
PINE11,Nome não disponível,N/D
PINE3,Banco Pine S.A.,5.87
PINE4,Banco Pine S.A.,5.9
PLAS3,Plascar Participações Industriais S.A.,5.5
PLPL3,Plano & Plano Desenvolvimento Imobiliário S.A.,14.67
PMAM3,Paranapanema S.A.,1.83
PNVL3,Dimed S.A. Distribuidora de Medicamentos,9.08
POMO3,Marcopolo S.A.,6.33
POMO4,Marcopolo S.A.,7.65
PORT3,Wilson Sons S.A.,17.49
POSI3,Positivo Tecnologia S.A.,4.27
PPLA11,PPLA Participations Ltd.,1.0
PRIO3,Prio S.A.,43.25
PRNR3,Priner Serviços Industriais S.A.,14.86
PSSA3,Porto Seguro S.A.,53.42
PSVM11,Porto Sudeste VM SA,5.7
PTBL3,PBG S.A.,4.56
PTNT3,Pettenati S.A. Industria Têxtil,9.21
PTNT4,Pettenati S.A. Industria Têxtil,4.82
QUAL3,Qualicorp Consultoria e Corretora de Seguros S.A.,1.77
RADL3,Raia Drogasil S.A.,14.51
RAIL3,Rumo S.A.,17.48
RAIZ4,Raízen S.A.,1.65
RANI3,Irani Papel e Embalagem S.A.,7.28
RAPT3,Randoncorp S.A.,8.15
RAPT4,Randoncorp S.A.,8.69
RCSL3,Recrusul S/A,2.39
RCSL4,Recrusul S/A,1.03
RDNI3,RNI Negócios Imobiliários S.A.,2.53
RDOR3,Rede D'Or São Luiz S.A.,34.7
REAG3,REAG Investimentos S.A.,3.74
RECV3,Petroreconcavo S.A.,15.42
REDE3,Rede Energia Participações S.A.,6.68
RENT3,Localiza Rent a Car S.A.,42.41
RNEW11,Renova Energia S.A.,2.9
RNEW3,Renova Energia S.A.,0.94
